RESPNUM,CCGID,TERM,STRATA,ATYPE,AIRLINE,DEST,GATENUM,INTDATE,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3A,Q4A,Q4B,Q4C,Q5,Q5AVG,SAQ,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q7COM1,Q7COM2,Q7COM3,Q7A1,Q7A2,Q7A3,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8COM1,Q8COM2,Q8COM3,Q9,Q9APOS1,Q9APOS2,Q9APOS3,Q9ANEG1,Q9ANEG2,Q9ANEG3,Q9ANTR1,Q9ANTR2,Q9ANTR3,Q10,Q11,Q11A1,Q11A2,Q11A3,Q12,Q13A,Q13B,Q13_COM,Q13COM1,Q13COM2,Q13COM3,Q14,Q14A,Q14A1,Q14A2,Q14A3,Q15,SFFLAG,COUNTRY,Q17,AGE,Q18,Q19,INC,MAIL,LANG,DESTMARK,DESTINATION,DESTGEO,WEIGHT,Location 1
2406,2051,2,1,1,30,2,3,10,2,3,8,,,,,2,11,,,,,9,2,2,2,1,1,2,6,6,6,6,0,0,0,5,0,0,0,0,0,0,51,37,91,,,,5,0,0,0,0,0,,,,5,,,,,,,,,,2,,,,,12,1,1,,,,,1,,5,,,2,4,62,7,75,1,1,25000,1,1,4,LAS VEGAS,1,0.636476,
2407,2052,2,1,1,30,2,3,10,2,2,8,,,,,6,11,,,,,9,1,1,1,1,1,2,6,6,3,4,4,3,3,3,6,6,6,6,6,3,,,,,,,3,6,6,6,2,3,,,,3,,,,,,,,,,2,,,,,5,4,4,,,,,2,,,,,2,4,52,3,29.5,2,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2408,2053,2,1,1,30,2,3,10,2,1,8,,,,,4,11,,,,,9,1,0,1,4,9.5,2,3,3,4,4,5,4,3,3,4,6,6,6,6,4,,,,,,,5,6,6,6,5,4,,,,4,10,,,,,,,,,2,,,,,5,5,4,,,,,2,,,,,1,12,62,6,59.5,0,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2409,2054,2,1,1,30,2,3,10,2,2,8,,,,,4,11,,,,,9,1,2,2,1,1,2,3,3,3,4,3,4,4,4,6,6,6,6,6,4,,,,,,,4,6,6,6,3,4,,,,5,,,,,,,,,,2,,,,,5,6,6,,,,,2,,,,,2,4,21,5,49.5,1,4,175000,1,1,4,LAS VEGAS,1,0.636476,
2410,2055,2,1,1,30,2,3,10,2,2,8,,,,,4,11,,,,,9,1,2,2,1,1,2,3,3,3,4,3,4,4,4,6,6,6,6,6,4,,,,,,,4,6,6,6,3,4,,,,4,,,,,,,,,,1,3,,,,5,6,6,,,,,2,,,,,2,4,21,5,49.5,2,4,175000,1,1,4,LAS VEGAS,1,0.636476,
2411,2056,2,1,1,30,2,3,10,2,2,8,,,,,8,11,,,,,9,1,1,2,1,1,2,3,6,4,4,4,4,4,6,6,6,6,6,6,4,,,,,,,5,6,6,6,6,5,,,,5,,,,,,,,,,2,,,,,4,4,4,,,,,2,,,,,2,4,36,3,29.5,2,3,125000,1,1,4,LAS VEGAS,1,0.636476,
2412,2057,2,1,1,30,2,3,10,2,2,8,,,,,8,11,,,,,9,1,2,2,1,1,2,3,3,3,4,3,2,6,2,4,6,6,6,6,3,,,,,,,4,6,6,6,6,4,,,,4,1,,,,,,,,,2,,,,,4,3,2,,,,,2,,,,,2,4,36,3,29.5,1,3,125000,1,1,4,LAS VEGAS,1,0.636476,
2413,2058,2,1,1,30,2,3,10,2,1,8,,,,,8,11,,,,,9,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,0,,,,,12,5,0,,,,,1,,5,,,1,5,62,3,29.5,1,0,,1,1,4,LAS VEGAS,1,0.636476,
2414,2059,2,1,1,30,2,3,10,2,3,8,,,,,5,11,,,,,9,0,0,1,3,4.5,2,4,4,4,2,4,4,6,4,6,6,3,6,6,4,,,,,,,4,6,4,6,4,4,,,,5,,,,,,,,,,2,,,,,1,2,4,,,,,1,,1,,,1,10,62,7,75,1,3,125000,1,1,4,LAS VEGAS,1,0.636476,
2415,2060,2,1,1,30,2,3,10,2,2,8,,,,,9,11,,,,,9,1,2,1,1,1,2,6,4,6,5,5,4,6,6,3,6,4,6,5,4,,,,,,,5,6,5,4,5,5,,,,5,,,,,,,,,,2,,,,,5,5,0,,,,,2,,,,,2,4,11,5,49.5,1,4,175000,1,1,4,LAS VEGAS,1,0.636476,
2416,2061,2,1,1,30,2,3,10,2,2,8,,,,,6,11,,,,,9,1,2,2,1,1,2,6,6,6,5,5,5,5,5,5,6,6,6,6,4,,,,,,,4,4,4,4,4,4,,,,3,,,,,,,,,,2,,,,,12,3,4,,,,,2,,,,,2,4,62,3,29.5,1,3,125000,1,1,4,LAS VEGAS,1,0.636476,
2417,2062,2,1,1,30,2,3,10,2,2,8,,,,,7,11,,,,,9,1,0,0,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5,5,5,5,5,5,,,,0,,,,,,,,,,0,,,,,5,5,5,,,,,2,,,,,2,4,62,2,21,0,0,,1,1,4,LAS VEGAS,1,0.636476,
2418,2063,2,1,1,30,2,3,10,2,2,8,,,,,4,11,,,,,9,2,2,2,3,4.5,2,4,4,3,3,4,4,4,4,4,5,5,6,4,4,,,,,,,5,6,5,4,5,5,,,,5,5,,,,,,,,,2,,,,,5,4,0,,,,,2,,,,,1,1,62,5,49.5,1,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2419,2064,2,1,1,30,2,3,10,2,1,8,,,,,1,11,,,,,4,2,2,2,6,36,2,5,4,4,4,5,3,6,6,4,3,6,6,6,4,,,,,,,4,6,6,6,4,3,,,,5,6,,,,,,,,,2,,,,,5,5,5,,2,,,2,,,,,1,1,62,3,29.5,2,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2420,2065,2,1,1,30,2,3,10,2,2,8,,,,,9,11,,,,,9,1,2,1,1,1,2,6,5,6,5,5,6,6,6,5,6,5,6,5,5,,,,,,,5,5,5,2,5,5,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,11,5,49.5,2,4,175000,1,1,4,LAS VEGAS,1,0.636476,
2421,2066,2,1,1,30,2,3,10,2,2,8,,,,,4,11,,,,,9,1,0,1,1,1,2,3,4,6,4,4,4,3,4,6,6,6,6,6,4,,,,,,,4,6,6,6,4,4,,,,3,,,,,,,,,,2,,,,,5,5,5,,12,,,2,,,,,2,4,35,5,49.5,2,1,25000,1,1,4,LAS VEGAS,1,0.636476,
2422,2067,2,1,1,30,2,3,10,2,2,8,,,,,4,11,,,,,9,1,2,1,1,1,2,4,4,6,4,4,4,3,4,6,6,6,6,6,4,,,,,,,5,6,6,6,4,4,,,,3,,,,,,,20,,,2,,,,,5,4,3,,,,,2,,,,,2,4,35,6,59.5,1,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2423,2068,2,1,1,30,2,3,10,2,6,8,,,,,9,11,,,,,9,0,1,1,3,4.5,2,4,3,3,5,5,5,4,5,5,6,5,6,5,4,40,6,70,,,,5,6,5,5,4,5,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,3,62,3,29.5,1,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2424,2069,2,1,1,30,2,3,10,1,2,8,,,,,3,11,,,,,9,0,1,0,2,2,2,5,5,4,5,5,0,4,5,6,6,5,6,6,5,,,,,,,5,6,5,6,5,5,,,,3,,,,,,,9,,,2,,,,,11,5,6,,,,,2,,,,,3,3,62,3,29.5,2,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2425,2070,2,1,1,30,2,3,10,1,1,8,,,,,3,11,,,,,9,2,1,2,3,4.5,2,4,4,4,4,4,4,6,6,6,6,6,6,6,4,,,,,,,5,6,6,6,5,4,,,,5,4,1,,,,,,,,2,,,,,11,5,4,,,,,2,,,,,3,3,62,6,59.5,2,0,,1,1,4,LAS VEGAS,1,0.636476,
2426,2071,2,1,1,30,2,3,10,2,2,8,,,,,2,11,,,,,9,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,4,,,,,,,4,6,6,6,4,4,,,,1,,,,8,,,,,,1,1,12,,,12,2,4,,,,,1,,,,,4,3,62,3,29.5,1,0,,1,1,4,LAS VEGAS,1,0.636476,
